sex,age,tot_pop,us_cit_tot_pop,us_cit_rep_reg_num,us_cit_rep_reg_pct,us_cit_rep_nr_num,us_cit_rep_nr_pct,us_cit_nr_num,us_cit_nr_pct,us_cit_vote_yes_num,us_cit_vote_yes_pct,us_cit_vote_no_num,us_cit_vote_no_pct,us_cit_vote_nr_num,us_cit_vote_nr_pct,us_tot_rep_reg_pct,us_tot_rep_vote_yes_pct
BOTH SEXES,Total 18 years and over,"260,363","236,138","173,854",73.6,"28,009",11.9,"34,275",14.5,"154,308",65.3,"48,480",20.5,"33,351",14.1,66.8,59.3
BOTH SEXES,18 to 24 years,"29,986","27,548","16,052",58.3,"5,955",21.6,"5,542",20.1,"13,150",47.7,"9,033",32.8,"5,366",19.5,53.5,43.9
BOTH SEXES,25 to 34 years,"44,385","38,963","26,637",68.4,"6,156",15.8,"6,170",15.8,"22,148",56.8,"10,928",28,"5,887",15.1,60,49.9
BOTH SEXES,35 to 44 years,"44,380","38,229","27,920",73,"4,859",12.7,"5,450",14.3,"24,340",63.7,"8,555",22.4,"5,334",14,62.9,54.8
BOTH SEXES,45 to 54 years,"40,089","35,422","27,091",76.5,"3,457",9.8,"4,874",13.8,"24,339",68.7,"6,271",17.7,"4,812",13.6,67.6,60.7
BOTH SEXES,55 to 64 years,"41,115","37,982","29,584",77.9,"3,400",9,"4,997",13.2,"27,015",71.1,"6,016",15.8,"4,951",13,72,65.7
BOTH SEXES,65 to 74 years,"35,236","33,753","27,161",80.5,"2,504",7.4,"4,088",12.1,"25,389",75.2,"4,352",12.9,"4,011",11.9,77.1,72.1
BOTH SEXES,75 years and over,"25,172","24,242","19,410",80.1,"1,677",6.9,"3,155",13,"17,928",74,"3,325",13.7,"2,989",12.3,77.1,71.2
BOTH SEXES,18 years,"4,474","4,258","1,872",44,"1,191",28,"1,196",28.1,"1,586",37.3,"1,505",35.3,"1,167",27.4,41.8,35.5
BOTH SEXES,19 years,"4,062","3,796","2,233",58.8,924,24.3,639,16.8,"1,744",45.9,"1,452",38.2,601,15.8,55,42.9
BOTH SEXES,20 years,"4,100","3,733","2,116",56.7,883,23.7,733,19.6,"1,664",44.6,"1,370",36.7,699,18.7,51.6,40.6
BOTH SEXES,21 years,"4,256","4,014","2,318",57.7,791,19.7,906,22.6,"1,887",47,"1,299",32.4,829,20.6,54.5,44.3
BOTH SEXES,22 years,"4,286","3,865","2,440",63.1,753,19.5,672,17.4,"2,054",53.1,"1,126",29.1,685,17.7,56.9,47.9
BOTH SEXES,23 years,"3,952","3,555","2,323",65.3,627,17.6,606,17,"1,939",54.5,"1,000",28.1,617,17.3,58.8,49.1
BOTH SEXES,24 years,"4,857","4,326","2,751",63.6,785,18.1,790,18.3,"2,276",52.6,"1,282",29.6,769,17.8,56.6,46.9
BOTH SEXES,25 years,"4,029","3,604","2,316",64.3,641,17.8,648,18,"1,852",51.4,"1,110",30.8,642,17.8,57.5,46
BOTH SEXES,26 years,"4,450","3,881","2,598",66.9,532,13.7,751,19.3,"2,227",57.4,936,24.1,718,18.5,58.4,50
BOTH SEXES,27 years,"4,220","3,718","2,411",64.9,683,18.4,623,16.8,"1,958",52.7,"1,134",30.5,626,16.8,57.1,46.4
BOTH SEXES,28 years,"4,331","3,871","2,575",66.5,643,16.6,653,16.9,"2,134",55.1,"1,155",29.8,582,15,59.4,49.3
BOTH SEXES,29 years,"4,382","3,757","2,671",71.1,657,17.5,428,11.4,"2,216",59,"1,110",29.5,431,11.5,61,50.6
BOTH SEXES,30 years,"4,613","4,094","2,853",69.7,616,15,625,15.3,"2,375",58,"1,107",27.1,611,14.9,61.8,51.5
BOTH SEXES,31 years,"4,455","3,916","2,756",70.4,580,14.8,580,14.8,"2,285",58.4,"1,102",28.1,529,13.5,61.9,51.3
BOTH SEXES,32 years,"4,501","3,942","2,782",70.6,592,15,567,14.4,"2,288",58,"1,093",27.7,561,14.2,61.8,50.8
BOTH SEXES,33 years,"4,501","3,918","2,729",69.6,555,14.2,635,16.2,"2,330",59.5,"1,051",26.8,538,13.7,60.6,51.8
BOTH SEXES,34 years,"4,903","4,263","2,946",69.1,658,15.4,659,15.5,"2,483",58.2,"1,130",26.5,650,15.2,60.1,50.6
BOTH SEXES,35 years,"4,506","3,932","2,681",68.2,613,15.6,639,16.2,"2,255",57.4,"1,020",25.9,657,16.7,59.5,50.1
BOTH SEXES,36 years,"4,434","3,887","2,727",70.1,590,15.2,570,14.7,"2,364",60.8,974,25.1,549,14.1,61.5,53.3
BOTH SEXES,37 years,"4,367","3,784","2,821",74.5,456,12.1,507,13.4,"2,436",64.4,877,23.2,471,12.4,64.6,55.8
BOTH SEXES,38 years,"4,790","4,101","2,937",71.6,503,12.3,661,16.1,"2,608",63.6,845,20.6,647,15.8,61.3,54.5
BOTH SEXES,39 years,"4,409","3,684","2,696",73.2,509,13.8,479,13,"2,379",64.6,820,22.3,485,13.2,61.1,54
BOTH SEXES,40 years,"4,635","4,009","3,000",74.8,531,13.3,478,11.9,"2,635",65.7,930,23.2,444,11.1,64.7,56.8
BOTH SEXES,41 years,"4,217","3,659","2,753",75.2,436,11.9,471,12.9,"2,458",67.2,742,20.3,460,12.6,65.3,58.3
BOTH SEXES,42 years,"4,201","3,579","2,646",73.9,363,10.1,571,15.9,"2,271",63.4,757,21.2,551,15.4,63,54.1
BOTH SEXES,43 years,"4,183","3,561","2,687",75.5,417,11.7,456,12.8,"2,322",65.2,770,21.6,469,13.2,64.2,55.5
BOTH SEXES,44 years,"4,639","4,032","2,972",73.7,440,10.9,620,15.4,"2,611",64.7,820,20.3,602,14.9,64.1,56.3
BOTH SEXES,45 years,"4,052","3,545","2,787",78.6,353,10,406,11.4,"2,461",69.4,670,18.9,415,11.7,68.8,60.7
BOTH SEXES,46 years,"4,098","3,555","2,816",79.2,361,10.2,378,10.6,"2,496",70.2,704,19.8,355,10,68.7,60.9
BOTH SEXES,47 years,"4,092","3,566","2,675",75,330,9.3,561,15.7,"2,389",67,637,17.9,540,15.2,65.4,58.4
BOTH SEXES,48 years,"4,033","3,566","2,714",76.1,359,10.1,493,13.8,"2,425",68,656,18.4,486,13.6,67.3,60.1
BOTH SEXES,49 years,"3,723","3,166","2,399",75.8,309,9.8,458,14.5,"2,172",68.6,545,17.2,449,14.2,64.5,58.4
BOTH SEXES,50 years,"3,998","3,572","2,602",72.8,390,10.9,580,16.2,"2,348",65.7,655,18.3,570,16,65.1,58.7
BOTH SEXES,51 years,"3,815","3,380","2,651",78.4,265,7.8,464,13.7,"2,392",70.8,505,14.9,483,14.3,69.5,62.7
